Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W
"Curchack, Fred",,,,,,AP,3300,501,6,4,2,2,1,3,1,1,,,,,1,,,,,,0
"Anjum, Zafar",,,,,,ARAB,1311,001,,26,,,1,,,,,,,,,,,,,,2
"Stone, Winston","Ward, Lindsey K","Guyot, Natacha",,,,ARTS,1301,001,19,40,7,8,3,4,3,3,5,1,2,,3,,,,,,1
"Stone, Winston","Johnson, Ryan L","Tran, Loan T",,,,ARTS,1301,002,12,35,15,9,8,3,5,5,2,,1,,3,,,,,,1
"Miller, Cynthia M",,,,,,ARTS,2350,001,1,3,10,,2,,,1,,,,,2,,,,,,0
"Copeland, Colette",,,,,,ARTS,2350,002,,5,6,1,1,3,1,,,,,,,,,,,,1
"Miranda, Jeffrey",,,,,,ARTS,3367,501,9,7,3,,,,,,,,,,,,,,,,0
"Chen, Bei",,,,,,CHIN,1311,001,7,3,2,1,,,1,,1,1,,,,,,,,,1
"Wang, Chen",,,,,,CHIN,1311,002,2,7,4,3,3,,1,1,1,,,,,,,,,,1
"Kimzey, Blake G",,,,,,CRWT,2301,001,,4,10,1,2,,,,,,,,,,,,,,0
"DiNuzzo, Brian",,,,,,CRWT,2301,002,,1,4,6,,1,3,1,,,,,2,,,,,,0
"Kimzey, Blake G",,,,,,CRWT,2301,501,,8,6,2,,1,,,,,,,,,,,,,0
"Johnson, Melissa A",,,,,,DANC,1310,001,9,28,5,1,3,1,,,,,,,,,,,,,2
"Johnson, Melissa A",,,,,,DANC,2332,001,10,5,3,,2,,,,1,,,,,,,,,,0
"Saba, Monica",,,,,,DANC,2334,001,4,5,,1,,1,,,,,,,1,,,,,,1
"Petty, John E",,,,,,FILM,2332,501,2,4,17,9,10,9,6,,,,,1,3,,,,,,2
"Fettouh, Maha K",,,,,,FREN,1311,001,,15,,,3,,,,,,,,1,,,,,,0
"Fettouh, Maha K",,,,,,FREN,2311,001,,17,,,,,,,,,,,,,,,,,1
"Webb, Elena G",,,,,,GERM,1311,001,7,5,,,2,1,,,,,,,1,,,,,,1
"Bennett, Gina G","D'Monte, Nikita",,,,,HIST,1301,001,,8,,,14,,,5,,,3,,12,,,,,,2
"Schulze, Jeffrey","Hirshberg, Jeffrey",,,,,HIST,1301,002,3,4,6,3,12,11,3,14,8,2,5,2,10,,,,,,3
"Johnson, Yvonne","Ahmed, Areeba S",,,,,HIST,1301,003,,16,,,28,,,21,,,13,,9,,,,,,3
"Schulze, Jeffrey","Minich, Joseph T",,,,,HIST,1301,004,,5,9,9,12,9,2,11,3,1,5,3,15,,,,,,4
"Stewart, Whitney","Ssali, Madiina",,,,,HIST,1301,010,4,25,17,6,13,3,5,3,2,1,3,,5,,,,,,3
"Schulze, Jeffrey","Williams, Harold T",,,,,HIST,1301,005,2,4,6,11,20,11,3,10,3,1,1,,9,,,,,,6
"Johnson, Yvonne","Jacobs, Janet K",,,,,HIST,1301,006,,11,,,30,,,20,,,19,,4,,,,,,3
"Stewart, Whitney","Davis, Lauren R",,,,,HIST,2301,501,1,19,13,5,12,2,2,,3,,1,,10,,,,,,0
"Farmer, J Michael",,,,,,HIST,3301,001,,3,4,,3,4,2,6,1,2,,,2,,,,,,0
"Ali, Shazia",,,,,,HUMA,1301,001,26,19,8,6,4,1,,1,1,,1,,,,,,,,0
"Ingrao, Peter J","Hashmi, Sarah J",,,,,HUMA,1301,002,18,7,4,11,14,3,5,2,,,,,1,,,,,,3
"Mortensen, Joan","Harrison, Macy T",,,,,HUMA,1301,003,,9,4,3,12,15,8,4,4,,3,,6,,,,,,2
"Mortensen, Joan",,,,,,HUMA,1301,004,,7,7,10,8,9,12,2,3,,1,,7,,,,,,4
"Dennis, Patrick W",,,,,,HUMA,1301,502,,2,19,8,9,11,4,5,,1,1,,7,,,,,,2
"Ingrao, Peter J","Iftikhar, Shabnum",,,,,HUMA,1301,006,32,12,3,12,5,,1,1,1,1,1,,1,,,,,,0
"Towner, Theresa",,,,,,HUMA,6300,001,,14,1,,2,,,,,,,,,,,,,,1
"Hunt, Shamim",,,,,,LIT,2331,001,7,2,4,3,2,1,1,1,,,,1,2,,,,,,1
"Saar Hambazaza, Terje",,,,,,LIT,2331,002,9,2,4,1,,2,,,,,1,,,,,,,,0
"Kraemer, Jennifer D",,,,,,LIT,2341,001,,5,1,,,1,,,,,,1,4,,,,,,1
"Austin-Bolt, Caroline M",,,,,,LIT,2341,501,,6,5,1,3,,1,,,,1,,,,,,,,0
"Lambert, Thomas M",,,,,,LIT,3330,501,3,2,5,1,2,4,1,1,,,,,,,,,,,0
"Wilson, Michael",,,,,,HUMA,1301,HN1,1,10,10,2,1,1,,,,,,,,,,,,,0
"Hasler, Carl",,,,,,PHIL,1301,001,,4,19,7,12,14,1,1,2,,,1,6,,,,,,1
"Riley, Kristin N",,,,,,RHET,1302,001,5,7,3,1,2,,,,,,,,1,,,,,,0
"Ocasio-Russe, Lizbette",,,,,,RHET,1302,002,2,3,2,3,,2,3,1,1,,,,2,,,,,,0
"Howard Cuadros, Esther W",,,,,,RHET,1302,003,,13,2,2,1,,,,,1,,,,,,,,,0
"Wright, Adam M",,,,,,RHET,1302,004,4,1,5,2,3,,1,,1,,,,2,,,,,,0
"Ocasio-Russe, Lizbette",,,,,,RHET,1302,005,1,2,4,1,2,2,2,,,,,,3,,,,,,2
"Riley, Kristin N",,,,,,RHET,1302,006,1,6,3,1,2,4,,1,,,,,1,,,,,,0
"King, Alana",,,,,,RHET,1302,007,3,5,3,2,1,1,,1,1,,1,,1,,,,,,0
"Bell, Joycelyn M",,,,,,RHET,1302,008,2,9,3,2,1,1,,,,,,1,,,,,,,0
"Jett, Merry A",,,,,,RHET,1302,009,5,5,5,,1,,,1,1,,,,1,,,,,,0
"Berry, Tracey R",,,,,,RHET,1302,010,1,10,3,,2,,2,1,,,,,,,,,,,0
"Bell, Joycelyn M",,,,,,RHET,1302,011,4,10,2,,1,,,,,1,,,1,,,,,,0
"Jett, Merry A",,,,,,RHET,1302,012,2,3,5,1,,1,,1,3,,1,,1,,,,,,1
"Berry, Tracey R",,,,,,RHET,1302,013,1,9,1,4,1,1,,,1,,,,1,,,,,,0
"Bovda, Alisa Y",,,,,,RHET,1302,014,,6,5,2,,1,1,,,,,,2,,,,,,1
"Lyons, David L",,,,,,RHET,1302,015,1,4,9,1,1,,,,,1,,,1,,,,,,1
"Field, Amanda C",,,,,,RHET,1302,016,4,5,5,,3,1,,,,1,,,,,,,,,0
"Sinckler, Robin",,,,,,RHET,1302,017,,,,3,1,1,1,3,1,1,,1,3,,,,,,4
"Lyons, David L",,,,,,RHET,1302,018,1,7,4,1,3,,,,,1,,1,1,,,,,,0
