Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ARTS,4308,001,,3,2,,1,,,,,,1,,2,,"Durant, Stephanie D",,,,,
CHIN,2311,001,5,1,1,,,1,,,,,1,,,,"Chen, Bei",,,,,
COMD,7309,001,,6,,1,2,,,,,,,,,,"Hart, John",,,,,
ECON,6352,501,,2,4,,,1,,2,,,,,,,"Dumas, Lloyd",,,,,
EEDG,6302,302,,1,1,1,1,1,4,,,,,,,,"Bennett, Terrell R","Birjandtalab Golkhatm, Javad","Wang, Xianan",,,
MIS,6204,CW1,,3,,2,2,1,,1,,,,,,,"Hefley, William E",,,,,
MUSI,4322,001,,7,,,1,2,,,,,,,,,"Evans, Kathryn C",,,,,
CE,3110,103,1,5,,2,1,,,1,,,,,,,"Lee, Jeong-Bong","Choi, Ye I",,,,
CE,4390,001,1,,,2,2,,2,1,2,,,,,,"Nguyen, Nhut","Ozarslan, Omer F","Tran, Trung Hieu",,,
CS,6301,005,,10,,,,,,,,,,,,,"Thuraisingham, Bhavani","Belavadi, Vibha Chandramouli",,,,
EPPS,6302,001,,8,,,2,,,,,,,,,,"Ho, Karl","Li, Xiao",,,,
EPPS,6311,001,,5,3,,1,,,,,,,,1,,"Fass, Simon",,,,,
MIS,6346,002,,7,3,,,,,,,,,,,,"Henslee, Austin","Shankar, Santhosh",,,,
REAL,3365,001,,,2,2,3,,1,1,,1,,,,,"DeCourcy, George A",,,,,
BIOL,3102,008,,4,,1,1,2,2,,,,,,,,"Kim, Jung-Whan","Dahl, Haley C","Thomas-Jardin, Shayna E",,,
BIOL,5376,501,,1,2,2,3,2,,,,,,,,,"Xuan, Zhenyu","Levene, Stephen",,,,
STAT,6331,501,,5,2,1,2,,,,,,,,,,"Efromovich, Sam",,,,,
DANC,2332,001,3,6,1,,,,,,,,,,,,"Saba, Monica",,,,,
CE,3345,502,1,1,1,,5,,,2,,,,,,,"Khan, Ziaullah","Li, Fang",,,,
GISC,6382,001,,2,2,3,1,2,,,,,,,,,"Gearey, Wayne",,,,,
ACCT,6320,0W1,,6,2,1,1,,,,,,,,,,"Cavusoglu, Huseyin","Pham, Trang T",,,,
MIS,6375,0W1,,4,4,,1,1,,,,,,,,,"Bochsler, Daniel C",,,,,
EE,3120,103,,7,,,1,,,1,,,1,,,,"Zhou, Dian","Si, Qilin",,,,
BUAN,6345,0W1,,3,4,1,2,,,,,,,,,,"Saeed, Kashif","Kumari, Riti",,,,
MUSI,3342,001,7,3,,,,,,,,,,,,,"Mcvay, Michael",,,,,
ACCT,6305,0W1,,4,2,1,,1,,1,,,,,1,,"Janakiraman, Surya","He, Jiapeng",,,,
ARTS,3369,001,,9,,,1,,,,,,,,,,"Tady, Lorraine T",,,,,
MUSI,3122,001,,10,,,,,,,,,,,,,"Salisbury, Linda J",,,,,
THEA,1352,501,4,,5,,1,,,,,,,,,,"Hennigan, Edward B",,,,,
ATCM,4397,002,,10,,,,,,,,,,,,,"Salter, Monika",,,,,
ATCM,6310,001,,3,3,2,1,1,,,,,,,,,"McComber, Sean",,,,,
COMD,5344,001,,10,,,,,,,,,,,,,"Powers, Katharine A","Evans, Delaney L",,,,
BMEN,4388,001,,3,5,1,1,,,,,,,,,,"Polk, Todd W","Pacheco, Joe","Upasham, Sayali S",,,
BMEN,4388,002,1,2,3,3,1,,,,,,,,,,"Polk, Todd W","Pacheco, Joe","Upasham, Sayali S",,,
BMEN,4388,003,,1,5,3,1,,,,,,,,,,"Polk, Todd W","Pacheco, Joe","Upasham, Sayali S",,,
BMEN,6315,001,,4,2,4,,,,,,,,,,,"Auciello, Orlando H",,,,,
CE,3120,103,,7,,,3,,,,,,,,,,"Zhou, Dian","Si, Qilin",,,,
CE,3354,0W2,,1,3,3,2,1,,,,,,,,,"Straach, Janell","Zeng, Wenxi","Maweu, Barbara M",,,
EE,3120,102,,9,,,,,,,,,,,1,,"Zhou, Dian","Wang, Yifan",,,,
EE,3120,106,,9,,,1,,,,,,,,,,"Skinner, Neal G","Goswami, Pingakshya",,,,
SE,3162,052,,8,,,,1,,,1,,,,,,"Smith, Klyne",,,,,
SE,3354,003,,2,1,2,1,1,,1,,2,,,,,"Wei, Shiyi","Mordahl, Austin S","Vellingiri, Shanthi",,,
SYSM,6310,SS1,,10,,,,,,,,,,,,,"Wong, Weichen E",,,,,
PA,3379,001,6,3,,,,,,1,,,,,,,"Arguelles, Ariel",,,,,
AMS,4379,001,1,,2,1,4,,,1,,,,,1,,"Naqvi, Syed K",,,,,
ED,4343,501,1,8,,1,,,,,,,,,,,"Friedman, Meredith K",,,,,
ED,4344,502,,,6,1,1,,,,,,,,2,,"Huisman, Ingrid",,,,,
BA,4V00,002,,10,,,,,,,,,,,,,"Lewin, Peter",,,,,
FERM,6305,FS1,,8,,2,,,,,,,,,,,"Song, Kaisheng",,,,,
FERM,6310,FS1,,3,2,4,1,,,,,,,,,,"Scott, James A",,,,,
MECO,6312,002,,2,3,1,4,,,,,,,,,,"Zentner, Alejandro","Rupp, Anin D",,,,
MECO,6352,0W1,,7,,3,,,,,,,,,,,"Ziegler, Laurie","Lu, Xi",,,,
