Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W
"Sun, Yan",,,,,,ACCT,2301,002,6,7,9,8,6,2,5,9,3,4,,2,,,,,,,3
"Aksu, Mine H","Hou, Liya",,,,,ACCT,2301,003,2,3,7,2,2,7,3,5,3,2,3,2,9,,,,,,12
"Swaim, Stephanie R","Payne, Colton A",,,,,ACCT,2301,001,3,2,1,3,5,5,6,13,8,5,2,,9,,,,,,2
"Troutman, Amy B","Payne, Colton A",,,,,ACCT,2301,005,3,13,8,10,11,6,4,5,,2,,1,1,,,,,1,0
"Dai, Zhonglan","Nathan, Brad",,,,,ACCT,2302,003,2,9,3,2,10,5,9,7,3,1,1,1,4,,,,,,2
"Williams, Lisa C",,,,,,ACCT,2302,002,3,15,6,9,4,6,4,6,4,1,3,1,2,,,,,,1
"Williams, Lisa C",,,,,,ACCT,2302,001,4,8,1,7,9,4,7,7,,4,3,2,3,,,,,,5
"Janakiraman, Surya","Jang, Youngki",,,,,ACCT,6202,0W1,,5,9,10,8,2,3,,,,,,,,,,,1,1
"Janakiraman, Surya","Jang, Youngki",,,,,ACCT,6305,0W1,,6,3,6,5,1,2,,,,,,2,,,,,,0
"Troutman, Amy B","Payne, Colton A",,,,,ACCT,6335,0W1,,7,20,15,3,3,,,,,,,,,,,,,2
"Goodrich, Mary Beth W","Vinayagam, Chidambara P",,,,,ACCT,3322,001,3,16,1,8,9,1,6,1,,,1,,1,,,,,,1
"Yehuda, Nir","Zhou, Xiaolu",,,,,ACCT,3331,001,3,3,10,8,6,8,5,4,,,5,,2,,,,,,3
"Zhou, Yibin","Li, Chenchen",,,,,ACCT,3331,002,3,4,3,3,3,4,3,4,1,,,,8,,,,,,0
"Li, Meng","Chu, Yu Fang",,,,,ACCT,3341,001,1,5,5,3,1,2,1,1,,,1,2,,,,,,,0
"Li, Meng","Chu, Yu Fang",,,,,ACCT,3341,002,4,9,7,5,7,5,8,2,,2,3,3,2,,,,,,0
"Linsteadt, Chris C","Braughton, Caleb M",,,,,ACCT,4334,001,,5,,,17,1,,16,,,2,,,,,,,,0
"Linsteadt, Chris C","Braughton, Caleb M",,,,,ACCT,4334,501,,8,,,16,2,,7,2,,2,,2,,,,,1,0
"Bowen, Richard M","Shavrina, Irina V",,,,,ACCT,4336,001,4,5,11,2,7,10,8,6,3,,,,1,,,,,,1
"Hagen, John C","Juarez Herrera, Pablo J",,,,,ACCT,4342,501,2,3,11,5,9,7,2,1,3,1,1,,3,,,,,,0
"Janakiraman, Surya","Jang, Youngki",,,,,ACCT,6202,501,,6,6,3,4,,,,,,,,,,,,,,0
"Loumioti, Maria","Chu, Yu Fang",,,,,ACCT,6305,501,,9,,1,2,,,,,,,,,,,,,,0
"Zhang, Jieying","Song, Dongye","Hu, Yaqin",,,,ACCT,6332,001,,8,10,7,5,7,2,2,,,,,,,,,,,1
"Zhang, Jieying","Song, Dongye","Hu, Yaqin",,,,ACCT,6332,003,,3,4,2,2,2,1,1,,,,,,,,,,,0
"Zolton, Kathy","Shavrina, Irina V",,,,,ACCT,6333,501,,16,,,20,,,12,,,,,1,,,,,,2
"Mauriello, Joseph A","Hale, Seth M",,,,,ACCT,6336,501,,11,10,12,2,2,,,,,,,,,,,,,0
"Li, Bin","Shekarchizadeh Esfahani, Sharif",,,,,ACCT,6344,001,,8,1,2,13,1,,1,,,,,,,,,,,0
"McCuistion, Dennis",,,,,,ACCT,6377,501,,23,20,1,,1,,,,,,,,,,,,,0
"Mauriello, Joseph A","Braughton, Caleb M",,,,,ACCT,6380,501,,12,8,9,7,,,,,,,,1,,,,,,4
"Mauriello, Joseph A","Hale, Seth M",,,,,ACCT,6382,501,,11,7,1,,,,,,,,,,,,,,,0
"Kimzey, Jackie","Bai, Xiaoou",,,,,ENTP,6370,501,,6,11,12,15,2,,,,,,,,,,,,,0
"Shah, Rajiv","Kathuria, Nishant",,,,,ENTP,6375,501,,2,4,2,3,1,,,,,,,,,,,,,0
"Pedigo, Madison F",,,,,,ENTP,6315,0W1,,4,2,5,1,,,,,,,,,,,,,,0
"Fleming, Forney F",,,,,,HMGT,6320,501,,37,7,5,1,,,,,,,,,,,,,1,0
"Ramanathan, Kannan",,,,,,HMGT,6321,501,,11,8,,3,3,,,,,,,,,,,,1,0
"Ziegler, Laurie","Li, Jianan","Gupta, Ashna",,,,HMGT,6324,001,,6,,,,,,,,,,,,,,,,,0
"Hazzard, Charles F","Redlinger, Lawrence","Kim, Kyun",,,,MAS,6V03,MBC,,31,,,,,,,,,,,,,,,,,0
"Hicks, Jeffrey N","Kim, Kyun",,,,,OB,6301,501,,40,9,2,1,1,,,,,,,,,,,,,0
"Hasenhuttl, Maria","Jung, Young-Hoon",,,,,OB,6301,0W1,,43,,,2,,,,,,,,1,,,,,,1
"Ziegler, Laurie","Li, Jianan","Gupta, Ashna",,,,OB,6332,001,,23,1,,3,,,,,,,,,,,,,,0
"Alborz, Shawn",,,,,,SYSM,6311,001,,2,9,1,1,,,,,,,,,,,,,,0
"Raghunathan, Srinivasan","Mutyala, Mehar Venkat Aditya",,,,,MIS,6308,0W1,,15,12,13,4,2,,,,,,,,,,,,,3
"Ryu, Young","Godasi, Sai Ram Bharadwaj",,,,,MIS,6326,001,,14,3,5,10,1,,,,,,,,,,,,,1
"Ryu, Young","Godasi, Sai Ram Bharadwaj",,,,,MIS,6326,0W1,,10,4,1,5,2,,,,,,,,,,,,,3
"Alborz, Shawn",,,,,,OPRE,6362,001,,11,12,9,6,3,,,,,,,,,,,,,0
"Alborz, Shawn",,,,,,OPRE,6362,501,,6,10,10,6,1,,,,,,,,,,,,,0
"Rebello, Michael J",,,,,,FIN,6301,001,,4,3,8,3,3,1,,,,,,,,,,,,5
"Nanda, Vikram K",,,,,,FIN,6301,502,,9,5,4,5,,,,,,,,,,,,,1,1
"Bruce, Norris I","Lim, Bo Ram","Norman, Laura E",,,,MKT,6301,501,,15,9,15,12,1,,,,,,,,,,,,,0
"Lewin, Peter","Zhu, Yiding",,,,,MECO,6303,0W1,,24,5,15,2,2,,,,,,,,,,,,,0
"Pedigo, Madison F",,,,,,FIN,6315,0W1,,4,12,8,6,1,,,,,,,2,,,,,,0
"Dai, Zhonglan","Nathan, Brad",,,,,ACCT,2302,004,6,10,,3,16,3,1,9,4,5,3,3,,,,,,,3
"Hes, Christopher A","Vinayagam, Chidambara P",,,,,ACCT,2302,501,6,2,8,10,7,9,4,6,3,4,1,3,2,,,,,,4
"Moore, Sarah E","Rosillo, Andrea G",,,,,ACCT,3100,001,1,26,8,3,1,1,,,,,,,,,,,,,0
"Cready, William M","Fan, Zhongwen",,,,,ACCT,3341,501,,5,2,1,1,4,,7,,,3,,3,,,,,,3
"Johnson, Jennifer","Garcia, Cesar D",,,,,ACCT,4342,001,1,4,13,9,11,7,8,5,4,,2,,,,,,,,1
"Zhang, Jieying","Song, Dongye","Hu, Yaqin",,,,ACCT,6332,002,,3,3,3,2,2,1,1,,,,,,,,,,,1
"Betanzos, Christina L","Juarez Herrera, Pablo J",,,,,BLAW,2301,001,,13,9,12,6,11,8,7,4,,1,,5,,,,,,1
"Polze, Matthew M","Ayala, Nestor A",,,,,BLAW,2301,002,,22,6,10,17,3,6,4,3,,2,,11,,,,,,6
"Chasteen, Larry H","Jung, Young-Hoon",,,,,BPS,4305,001,,10,,4,18,,2,9,,4,,,,,,,,,1
"Chasteen, Larry H","Jung, Young-Hoon",,,,,BPS,4305,002,2,10,,8,20,,4,4,,,,,,,,,,,0
"Markoczi, Livia","Wang, Congying",,,,,BPS,4305,003,9,9,10,4,4,7,3,2,1,,,,,,,,,,0
"Markoczi, Livia","Wang, Congying",,,,,BPS,4305,004,5,5,11,7,6,3,5,4,2,1,,,,,,,,,0
"Levine, Sheen S","Kemp, Ayenda",,,,,BPS,4305,006,2,8,4,5,3,2,,,,,,,1,,,,,,0
"Levine, Sheen S","Kemp, Ayenda",,,,,BPS,4305,007,2,3,7,6,5,3,2,,1,,,,2,,,,,,2
"Majumdar, Sumit K","Sun, Geng",,,,,BPS,4305,501,9,20,10,5,1,1,,1,2,,,,,,,,,,0
"Miller, Toyah L","Li, Jianan",,,,,BPS,4305,502,2,6,4,12,8,3,8,2,2,,,,1,,,,,,1
"Kaplan, Marilyn R",,,,,,BPS,6310,0W1,,30,4,5,2,,,1,,,,,,,,,,,2
"Lin, Zhiang","Nguyen, Huy",,,,,BPS,6310,501,,8,6,1,1,,,,,,,,,,,,,,0
"Hicks, Jeffrey N",,,,,,BPS,6360,501,,33,7,5,2,,,,,,,,,,,,,,0
"Guttery, Randall",,,,,,FIN,3300,001,,13,4,,12,3,,12,1,,4,,,,,,,,0
"Cordell, David M","Zhu, Yiding",,,,,FIN,3320,001,,9,2,1,11,2,2,7,3,1,2,,1,,,,,1,3
"Cordell, David M","Zhu, Yiding",,,,,FIN,3320,002,,5,4,2,11,4,3,5,3,,3,,4,,,,,,2
