Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,"Total W",Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
PPPE,6343,501,,5,3,,,,,,,,,,1,0,"Boots, Denise P","Saucedo De La Fuente, David",,,,
OPRE,7310,001,,4,4,1,,,,,,,,,,0,"Cakanyildirim, Metin",,,,,
HUAS,7360,001,,8,,,,,,,,,,,,0,"Warren, Shilyh J",,,,,
HUAS,6345,501,,7,,1,,,,1,,,,,,0,"Curchack, Fred",,,,,
BMEN,4388,005,,1,4,,1,,1,1,,,,,1,0,"Meyer, Clark A","Pacheco, Joe","Polk, Todd W","Upasham, Sayali S",,
SE,4347,501,1,5,1,1,1,,,,,,,,,0,"Khan, Ziaullah","Yu, Xinyue",,,,
ED,4344,502,,2,1,3,1,1,,,,,,,1,0,"Huisman, Ingrid",,,,,
MKT,6338,001,,5,,2,2,,,,,,,,,0,"Islam, Naser","Muthukrishnan, Bharathi",,,,
ARTS,2316,501,2,7,1,,,,,,,,,,,0,"Egan, Trey T",,,,,
CHIN,3365,001,6,3,1,,,,,,,,,,,0,"Zhang, Lei",,,,,
COMM,1311,510,6,,2,,,1,,,,,,,1,0,"Davis, Letitia",,,,,
JAPN,3311,501,1,1,,3,1,2,,1,,,,,1,0,"Kroska, Nami",,,,,
LANG,4348,001,6,3,1,,,,,,,,,,,0,"Camacho-Guardado, Lorena",,,,,
LIT,3319,001,,,5,3,,,,,,,,,1,1,"Cohen, Milton",,,,,
LIT,3337,501,,4,,1,4,,,1,,,,,,0,"Schulte, Rainer",,,,,
LIT,4329,002,,10,,,,,,,,,,,,0,"Redman, Timothy P","Rosen, Mark S",,,,
RHET,4303,501,,3,1,,4,1,,,,,,,1,0,"Gooch, John C",,,,,
THEA,2372,002,,5,,,3,1,,,,,,,1,0,"Lingo, Kathy A",,,,,
ATCM,4397,002,,2,3,2,2,,,,,,,,,1,"Schich, Maximilian",,,,,
ATCM,6380,001,,4,3,2,1,,,,,,,,,0,"Sung, Wendy",,,,,
COMD,7305,001,,9,,,1,,,,,,,,,0,"Ulatowska, Hanna K",,,,,
COMD,7309,001,,8,,,2,,,,,,,,,0,"Hart, John",,,,,
HCS,6350,001,,8,,,2,,,,,,,,,0,"Holub, Shayla C",,,,,
HCS,7310,001,,6,1,2,1,,,,,,,,,0,"Ackerman, Robert A",,,,,
HCS,7310,002,,8,1,1,,,,,,,,,,0,"Abdi, Herve","Yu, Ju-Chi",,,,
HCS,7V71,001,,10,,,,,,,,,,,,0,"Dollaghan, Christine",,,,,
BMEN,4388,004,1,2,1,1,2,1,2,,,,,,,0,"Pacheco, Joe","Meyer, Clark A","Polk, Todd W","Upasham, Sayali S",,
BMEN,6345,001,,7,,3,,,,,,,,,,0,"Schmidtke, David W",,,,,
CE,4390,502,1,1,,1,1,6,,,,,,,,0,"Hao, Shuang","Li, Shuo",,,,
EE,3301,001,1,1,1,,2,1,,1,2,,,,1,0,"Helms, Robert","Wang, Yifan",,,,
EEDG,5325,501,,10,,,,,,,,,,,,0,"Swartz, William P","Huang, Qiongdan",,,,
EEMF,7V82,001,,5,5,,,,,,,,,,,0,"Iyer, Mahadevan Krishna",,,,,
EEPE,7354,501,,10,,,,,,,,,,,,0,"Gohil, Ghanshyamsinh","Nguyen, Van Thuan",,,,
MECH,4381,010,,3,1,2,1,3,,,,,,,,0,"Hart, Robert A","Little, Ryan C","Upasham, Sayali S",,,
MECH,6337,501,,7,3,,,,,,,,,,,0,"Reynolds, Samuel E",,,,,
MSEN,3301,001,6,2,,1,,,,,,,,,,1,"Quevedo-Lopez, Manuel","Mosur Saravana Murthy, Lakshmi Narayanan",,,,
MSEN,5300,001,,3,1,2,3,,,,,,,,,1,"Gelb, Lev D","Mosur Saravana Murthy, Lakshmi Narayanan",,,,
SE,3340,001,,4,,1,1,,1,,3,,,,,0,"Nguyen, Nhut",,,,,
SE,3340,004,,2,1,,1,1,2,1,,1,1,,,0,"Mazidi, Karen J",,,,,
SE,3354,003,3,1,,2,1,1,,2,,,,,,0,"Wei, Shiyi","Zhang, Zenong",,,,
SE,3377,0W2,1,3,3,1,2,,,,,,,,,0,"Kapoor, Bhanu",,,,,
ECON,6302,501,,6,,2,,,,2,,,,,,0,"Panovska, Irina","Han, Minyu",,,,
