Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
EERF,7V89,303,,,,,,,,,,,,,,0,,,,,"Heins, Matthew S",,,,,
BMEN,1208,110,2,1,1,,1,,,3,,,,,,2,,,,,"Ardestani Khoubrouy, Soudeh","Jayanand, Kishan",,,,
BMEN,1208,102,1,,2,1,2,1,1,1,,,,,,1,,,,,"Meyer, Clark A","Ravichandran, Arul Vigneswar",,,,
SE,6387,MH1,,5,2,2,,,,,,,,,,1,,,,,"Gupta, Neeraj K",,,,,
SE,4348,006,,3,,1,2,,,,2,,,,1,1,,,,,"Alagar, Sridhar","Wang, Huaduo",,,,
CHIN,2311,001,3,1,3,1,,,,,1,,,,,1,,,,,"Chen, Bei",,,,,
PSCI,4396,HN2,3,3,2,1,,,,,,,,,,0,,,,,"Dow, Douglas C",,,,,
STAT,4355,001,,6,2,,,1,,,,,,,,1,,,,,"Ammann, Larry",,,,,
EE,3120,105,,7,,,2,,,,,,,,,1,,,,,"Zhou, Dian","Wang, Xianan","Wang, Yifan",,,
BCOM,3310,5E1,,,1,1,1,1,1,2,1,,,,1,1,,,,,"McCuistion, Dennis",,,,,
ATCM,6357,001,,4,2,2,1,,,,,,,,,0,,1,,,"Nguyen, Josef D",,,,,
ARTS,3369,001,,8,,,1,,,,,,,,,0,,1,,,"Tady, Lorraine T",,,,,
ARTS,3379,501,,5,,,,,,2,,,1,,1,1,,,,,"Rushing, Rachel",,,,,
MATH,6390,001,,4,2,2,1,,,,,,,,,0,,,,,"Ohsawa, Tomoki",,,,,
EESC,6353,001,,5,2,,2,1,,,,,,,,0,,,,,"Al-Dhahir, Naofal M","Marzban, Mohamed F",,,,
BMEN,3150,104,5,2,,2,1,,,,,,,,,0,,,,,"Ali, Tariq M","Abraham, Alejandro",,,,
NSC,3344,001,2,2,3,1,1,,,1,,,,,,0,,,,,"Mathew, Betty S","Doli, Evdoxia",,,,
SYSM,6315,501,,1,6,1,1,,1,,,,,,,0,,,,,"Shah, Rajiv",,,,,
ACTS,6303,501,,2,3,4,1,,,,,,,,,0,,,,,"Lu, Wenyi",,,,,
EERF,6396,302,,3,3,1,2,1,,,,,,,,0,,,,,"Lehmann, Randall E","Gemsheim, Alex J",,,,
GEOS,1104,101,,,,,2,,,6,2,,,,,0,,,,,"Pujana, Ignacio","Lee, Jaewook",,,,
EERF,6396,303,,1,1,1,5,1,1,,,,,,,0,,,,,"Lehmann, Randall E","Gemsheim, Alex J",,,,
HUSL,6378,001,,1,7,1,1,,,,,,,,,0,,,,,"Ozsvath, Zsuzsanna",,,,,
BMEN,4389,004,1,1,4,2,1,,1,,,,,,,0,,,,,"Pacheco, Joe","Polk, Todd W",,,,
CE,3110,102,1,1,1,,1,2,1,,2,,1,,,0,,,,,"Lee, Gil S","Ren, Jiajun",,,,
BMEN,4389,002,,2,2,3,,2,,1,,,,,,0,,,,,"Polk, Todd W","Pacheco, Joe",,,,
FERM,6311,FS1,,2,4,2,2,,,,,,,,,0,,,,,"Scott, James A",,,,,
BMEN,7341,004,,3,4,1,2,,,,,,,,,0,,,,,"Porter, Benjamin A",,,,,
BMEN,1208,109,,4,2,2,2,,,,,,,,,0,,,,,"Ardestani Khoubrouy, Soudeh","Dolui, Swapnil",,,,
EE,3110,102,,5,2,,2,,1,,,,,,,0,,,,,"Lee, Gil S","Ren, Jiajun",,,,
EPCS,3100,001,,7,1,,1,,,1,,,,,,0,,,,,"Gans, Nicholas R",,,,,
ENTP,4V00,001,,10,,,,,,,,,,,,0,,,,,"Chambers, Bryan D",,,,,
BMEN,4389,003,,3,1,2,,2,2,,,,,,,0,,,,,"Polk, Todd W","Pacheco, Joe",,,,
HONS,3199,H12,,10,,,,,,,,,,,,0,,,,,"Harpham, Edward",,,,,
SYSM,6337,SS1,,8,2,,,,,,,,,,,0,,,,,"Janakiraman, Surya","He, Jiapeng",,,,
STAT,7338,001,,10,,,,,,,,,,,,0,,,,,"Gel, Yulia",,,,,
PPPE,6312,0W1,,5,4,1,,,,,,,,,,0,,,,,"Skaggs, Sheryl L",,,,,
MSEN,6383,501,,10,,,,,,,,,,,,0,,,,,"Kim, Jiyoung",,,,,
CHEM,5341,001,,7,,,3,,,,,,,,,0,,,,,"Chan, Julia Y",,,,,
CE,3120,105,,7,,,2,,,1,,,,,,0,,,,,"Zhou, Dian","Wang, Xianan","Wang, Yifan",,,
SE,4348,003,,1,,1,1,2,,2,,,,1,2,0,,,,,"Alagar, Sridhar","Guo, Jianxiong",,,,
MECH,3120,101,4,2,1,1,1,,,,,,,,1,0,,,,,"Hassanipour, Fatemeh","Zaherisarabi, Shadi","Jiang, Lin",,,
FERM,6306,FS1,,7,2,1,,,,,,,,,,0,,,,,"Song, Kaisheng",,,,,
ARTS,3379,002,,2,2,3,1,,,,,,,,2,0,,,,,"Palmer, Marcy A",,,,,
CE,3101,105,3,4,2,,,,,,,,,,1,0,,,,,"Heins, Matthew S","Li, Chen",,,,
GEOS,1103,102,1,1,1,1,2,2,1,,,,,,1,0,,,,,"Griffin, William R",,,,,
SE,4348,002,,1,3,,,1,2,,2,,,1,,0,,,,,"Ozbirn, Greg A",,,,,
OPRE,6367,PW1,,10,,,,,,,,,,,,0,,,,,"Szot, James","Rajamani, Divakar",,,,
EE,3101,105,4,4,,,,1,,,,,,1,,0,,,,,"Heins, Matthew S","Li, Chen",,,,
GEOS,3470,301,,,,,,,,,,,,,,0,,,,,"Pirouz, Mortaza","Johnson, Samuel P",,,,
MATH,2414,347,,,,,,,,,,,,,,0,,,,,"Aman, Kelly",,,,,
CE,4370,303,,,,,,,,,,,,,,0,,,,,"Carrion Schaefer, Benjamin",,,,,
EE,1202,305,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Vankayalapati, Bhanu Teja","Mohamed, Ahmed M",
