Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
CRIM,1307,0U1,,1,4,2,1,,,,,1,,,,0,"Derlic, Dragana","Sanford, Stephanie M",,,,
OPRE,6398,5U1,,7,,1,1,,,,,,,,,0,"Alimirzaei, Athena","Ho, Yi-Ju",,,,
PHIL,3328,091,,,2,2,4,1,,,1,,,,,0,"Dennis, Patrick W",,,,,
RHET,1302,0S2,,1,2,6,,,1,,,,,,,0,"Johnson, Kevin W",,,,,
CGS,3361,0U1,,3,3,1,,1,,,1,,,1,,0,"Meltzer, Mitchell A","Sudheesh, Athul",,,,
CLDP,3303,0U1,1,3,2,,1,2,,,1,,,,,0,"Ralph, Yvonne K","Pattisapu, Candice N",,,,
NSC,4353,1U1,1,4,1,1,,1,1,,,,,,,1,"McWilliams, Steven P","Lackovic, Jacob","Newel, Jacqueline P","Naik, Dhananjay K",,
CS,1336,5U2,,2,3,1,2,1,,,,,,,1,0,"Gupta, Neeraj K","Li, Fang",,,,
CS,4390,0U1,,1,,,1,4,1,1,2,,,,,0,"Le, Khiem V","Samiei, Aliehsan",,,,
CS,6301,0U2,,10,,,,,,,,,,,,0,"Zhang, Kang","Fan, Zhenbao",,,,
ECS,3390,091,,4,1,,3,,,2,,,,,,0,"Scally, Deborah A",,,,,
EE,3111,1U1,1,4,2,,,1,,1,1,,,,,0,"Lee, Hoi","Cheng, Qi",,,,
EE,3150,1U1,,4,,2,,2,,1,,,,,,1,"Kiasaleh, Kamran",,,,,
EE,3350,0U1,2,,1,,,2,1,1,,,1,,1,1,"Ahmed, Shaheen","Quayum, Ayon",,,,
EE,4388,0U1,2,4,4,,,,,,,,,,,0,"Bhatia, Dinesh","Goswami, Pingakshya","Nourmohamadi, Hesam",,,
EEMF,6372,5U1,,4,2,2,2,,,,,,,,,0,"Tinker, Mark T",,,,,
MECH,6303,0U1,,6,4,,,,,,,,,,,0,"Rios, Oziel","Karami, Farzad",,,,
ECON,2302,5U1,5,1,,2,,1,,1,,,,,,0,"Kwak, Jihun",,,,,
ECON,4334,0U1,3,2,1,2,1,,,,1,,,,,0,"Ahmadi, Maryam",,,,,
BA,1320,5U1,2,,2,1,1,,2,2,,,,,,0,"Kiser, Stephen L",,,,,
BUAN,6356,5U1,,7,2,1,,,,,,,,,,0,"Johnston, Walter L",,,,,
FIN,4310,0U1,1,,2,,,2,1,1,1,,,,1,1,"Murray, Jennifer R",,,,,
MIS,6204,PW1,,8,,1,,,,,,,,,1,0,"Nietubicz, Richard A",,,,,
BIOL,2281,1U4,2,1,1,,1,1,1,3,,,,,,0,"Lin, Wen J","Tian, Jing","Buyukkahraman, Gozde","Xia, Jing","Gadhvi, Jashkaran G","Do, Hung P"
BIOL,3380,1U4,,2,1,2,,2,,,2,1,,,,0,"Pickett, Elizabeth A","Sivakolundu, Dinesh Keran",,,,
MATH,2312,0S1,3,1,,2,1,1,,1,,,,,,1,"Akbar, Mohammad M",,,,,
MKT,3300,5U1,,7,,,2,,,1,,,,,,0,"Bigham, Ernest P",,,,,
RHET,1302,0S3,2,1,6,1,1,,,,,,,,,0,"Johnson, Ryan L",,,,,
ATCM,4364,0U1,,10,,1,,,,,,,,,,0,"Farrar, Eric T",,,,,
PSY,4V90,0U1,7,,,2,,,,,,,,,2,0,"Helfers, Samantha",,,,,
SPAU,3303,0U1,,1,2,,1,1,1,1,1,,,,2,1,"Ralph, Yvonne K","Pattisapu, Candice N",,,,
CS,1335,0U1,2,2,1,3,,1,,,1,,,1,,0,"Ghosh, Smita","Ocampo Diaz, Gerardo",,,,
CS,2336,0U2,2,1,,,1,2,2,1,,,,1,1,0,"Feng, Ranran","Li, Xiaodi",,,,
CS,4337,0U1,,4,,1,1,,1,1,,,1,,1,1,"Davis, Chris I","Li, Xia",,,,
CS,4347,0U2,2,1,2,1,,2,,1,,,,,2,0,"Christiansen, Michael G","Patel, Dhruvkumar R",,,,
CS,4375,0U1,,2,2,2,,1,1,,1,,,1,1,0,"Mazidi, Karen J","Lin, Yu",,,,
CS,4390,0U2,,4,1,1,2,1,,,2,,,,,0,"Nguyen, Nhut","Mi, Feng",,,,
CS,4393,0U1,,1,3,1,1,1,1,3,,,,,,0,"Nguyen, Nhut","Chen, Simin",,,,
CS,5375,0W1,,9,1,1,,,,,,,,,,0,"Min, Richard K","Lee, Yi-Hui",,,,
ECS,3390,0U1,4,3,1,,1,1,,,,1,,,,0,"King, Carie S",,,,,
EE,3111,1U2,2,6,1,1,,,,,,,1,,,0,"Lee, Hoi","Liang, Jingchen",,,,
EE,3320,0U2,,2,3,,4,1,1,,,,,,,0,"Shakhakarmi, Niraj","Wang, Yifan",,,,
MECH,7393,0U1,,5,4,1,,1,,,,,,,,0,"Thamban, P.L.Stephan",,,,,
SE,4352,0U1,1,,3,1,,2,1,,1,1,,,,1,"Chung, Lawrence",,,,,
FIN,3350,0U1,,5,,,2,,3,,,,,,,1,"Richards, James R",,,,,
FIN,3380,0U1,,5,,2,2,,2,,,,,,,0,"Richards, James R",,,,,
MIS,6323,5U1,,3,,,6,,,1,,,,,1,0,"Thomas, Sunela","Tunc, Murat M",,,,
OPRE,6398,5U2,,7,1,,1,,,2,,,,,,0,"Alimirzaei, Athena","Ho, Yi-Ju",,,,
BIOL,4366,5U1,1,3,1,3,1,1,,,1,,,,,0,"Burr, John G",,,,,
CHEM,2401,1U1,1,1,3,3,1,,1,,,,1,,,0,"Dissanayake, Dushanthi S","Perera, Alahendra Arachchige Sachini .","Remy, Ashele K",,,
MATH,1306,0U1,,2,2,2,2,1,1,1,,,,,,0,"Mussa, Derege",,,,,
ARTS,2316,0U1,,6,1,1,3,1,,,,,,,,0,"Tady, Lorraine T",,,,,
ARTS,3379,591,,6,5,,,,,,,,,,1,0,"Loving, Emily",,,,,
FILM,1303,091,,3,3,2,,1,1,,,,,,2,0,"Al-Habashneh, Eman Bahjat",,,,,
LIT,2331,091,,6,4,1,1,,,,,,,,,0,"Stout, Patricia J",,,,,
AUD,6352,5U1,,3,8,1,,,,,,,,,,0,"Golboro, Andrew",,,,,
CLDP,3310,5U1,,3,2,2,2,2,,1,,,,,,0,"Bonner, Deborah L","Zhu, Yiyi",,,,
PSY,3338,0U1,,3,1,2,,2,,1,,1,1,,,1,"Burnell, Kaitlyn P",,,,,
SPAU,3342,0U1,2,4,3,2,,,1,,,,,,,0,"Barfoot, John W","Peskova, Olga",,,,
BMEN,3150,001,,4,2,4,,2,,,,,,,,0,"Ali, Tariq M","Abraham, Alejandro",,,,
CE,4389,0U1,1,7,,,1,1,,1,1,,,,,0,"Bhatia, Dinesh","Nourmohamadi, Hesam","Goswami, Pingakshya",,,
CS,6359,0U1,,4,2,2,3,1,,,,,,,,0,"Zhang, Kang","Shahbazi, Nima",,,,
EEOP,6314,0H1,,11,,,,,,,,,,,,1,"Tamil, Lakshman",,,,,
BUAN,6320,0U1,,3,4,,2,2,,,,,,,,1,"Narayan, Ravishankar L","Srivastava, Smriti",,,,
FIN,3395,5U1,,4,2,1,5,,,,,,,,,0,"Noland, Jeff",,,,,
MIS,6344,0U1,,11,1,,,,,,,,,,,0,"Beauchamp, Joe P","Singh, Ayush K",,,,
SYSM,6335,SS1,,12,,,,,,,,,,,,0,"Narayan, Ravishankar L",,,,,
BIOL,4380,1U1,,1,2,,3,2,1,2,,1,,,,0,"Borovkov, Irina G",,,,,
CHEM,1112,1U1,1,5,2,1,,,1,1,,,,1,,0,"Qin, Yanping","Abeyrathna, Nisansala S","Morakabi, Katayoun",,,
