Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2301,001,8,5,6,7,7,3,5,1,1,2,,,2,6,3,,3,"Tatiparti, Venu Madhav",,,,,
ACCT,2301,002,4,12,6,11,6,2,4,3,,,,,,6,2,,2,"Sandhu, Gurvinder",,,,,
ACCT,2301,003,3,5,11,5,5,4,2,1,3,1,,,2,6,5,,6,"Song, Dongye",,,,,
ACCT,2301,004,1,9,4,8,10,7,,2,1,1,1,,1,11,2,,2,"Gencer, Nur Pinar",,,,,
ACCT,2301,005,5,8,6,11,3,7,2,1,2,,,,,13,3,,1,"Files, Rebecca L","Burnette, Naomi R",,,,
ACCT,2301,006,3,11,8,11,4,2,,,,,,,2,14,1,,7,"Files, Rebecca L","Burnette, Naomi R",,,,
ACCT,2301,007,2,8,11,7,8,6,3,3,,1,1,,,12,1,,2,"Li, Meng","Benny, Keerthy",,,,
ACCT,2301,009,6,6,4,3,12,5,2,2,3,2,2,5,2,7,,,4,"Zhou, Yibin","Chaturvedi, Sneha",,,,
ACCT,2301,010,2,11,10,10,5,7,3,5,1,,,,2,7,2,,0,"Li, Meng","Benny, Keerthy",,,,
ACCT,2301,011,,9,11,7,10,4,2,4,2,2,,,,12,,,2,"Li, Meng","Benny, Keerthy",,,,
ACCT,2301,501,,13,,5,5,1,4,2,1,2,1,,5,8,,,10,"Nathan, Brad",,,,,
ACCT,2301,HON,22,9,8,6,5,1,,,1,,,,,5,,,0,"Files, Rebecca L","Burnette, Naomi R",,,,
ACCT,2302,001,3,5,7,7,10,,2,3,3,,6,,1,7,3,,3,"Zolton, Kathy","Frendo, Derek J",,,,
ACCT,2302,002,6,6,7,5,6,,1,3,1,,4,,2,9,2,,6,"Zolton, Kathy","Frendo, Derek J",,,,
