Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2301,5U1,4,3,1,4,8,2,3,8,,6,,6,2,,,"Zhou, Yibin","Song, Dongye",,,,
ACCT,2302,5U1,1,4,22,16,7,4,4,2,,,,,1,,,"Hes, Christopher A","Tatiparti, Venu Madhav",,,,
ACCT,3331,5U1,,6,1,1,10,,,7,,,1,,,,,"Cready, William M","Gencer, Nur Pinar",,,,
ACCT,3341,5U1,10,5,13,11,3,1,1,,,,,,,,,"Kromer, Jeffrey","Song, Dongye",,,,
ACCT,3350,5U1,10,10,9,4,4,,,,,,,,,,,"Gamino, John P",,,,,
ACCT,4334,5U1,,2,6,5,6,8,2,2,,,1,,,,,"Hes, Christopher A","Tatiparti, Venu Madhav",,,,
ACCT,4336,5U1,,4,4,3,3,,,,,,,,,,,"Gurun, Umit","Gencer, Nur Pinar",,,,
ACCT,4340,0U1,8,9,3,3,4,3,2,,,1,,,2,,,"Johnson, Jennifer",,,,,
ACCT,4342,5U1,1,,7,3,1,3,,,,,,1,,,,"Johnson, Jennifer","Hagen, John C",,,,
ACCT,6194,SW1,,9,,,2,,,1,,,,,1,,,"Johnson, Jennifer",,,,,
ACCT,6202,0W1,,5,13,14,5,9,4,3,,,,,,,,"Janakiraman, Surya","Tatiparti, Venu Madhav",,,,
ACCT,6287,XU1,,31,1,1,,,,,,,,,,,,"McNulty, Diane S",,,,,
ACCT,6292,SW1,,8,,,1,,,,,,,,1,,,"Linsteadt, Chris C",,,,,
ACCT,6301,5U1,,12,8,7,2,2,,,,,,,,,,"Ali, Ashiq","Sandhu, Gurvinder",,,,
ACCT,6305,0W1,,3,11,4,5,4,2,,,,,,,,,"Janakiraman, Surya","Tatiparti, Venu Madhav",,,,
ACCT,6313,5U1,,,8,5,1,,,,,,,,,,,"Lahiri, Atanu","Zhang, Hong",,,,
ACCT,6320,0W1,,2,2,3,3,1,1,,,,,,,,,"Cavusoglu, Huseyin","Liu, Yihong",,,,
ACCT,6330,0W1,,5,,,7,,,2,,,,,,,,"Cready, William M","Gencer, Nur Pinar",,,,
ACCT,6331,0W1,,10,,,4,,,1,,,,,,,,"Cready, William M","Gencer, Nur Pinar",,,,
ACCT,6333,5U1,,18,,,13,,,4,,,,,,,,"Zolton, Kathy",,,,,
ACCT,6338,0W1,,21,,1,10,,,,,,,,,,,"Goodrich, Mary Beth W","Nathan, Brad",,,,
ACCT,6344,0W1,,14,21,13,9,1,,,,,,,,,,"Gurun, Umit","Gencer, Nur Pinar",,,,
ACCT,6353,5U1,,7,13,5,1,,,,,,,,,,,"Solcher, Steven J",,,,,
ACCT,6356,5U1,,17,8,4,,,,,,,,,,,,"Gamino, John P",,,,,
ACCT,6367,5U1,,20,,,1,,,,,,,,,,,"Gamino, John P","Frost, Sandra M",,,,
ACCT,6373,0W1,,51,,,16,,,,,,,,,,,"Barden, John P","Nathan, Brad",,,,
ACCT,6384,0W1,,43,8,2,1,,,1,,,,,,,,"Kromer, Jeffrey","Song, Dongye",,,,
ACCT,6388,5U1,,14,1,1,,2,,,,,,,,,,"Goodrich, Mary Beth W","Nathan, Brad",,,,
ACN,6338,0U1,,17,,,10,,,1,,,,,,,,"Sultana, Rukhsana","Wilhelm, Rachel",,,,
ACN,6V81,0U1,,33,5,1,,,,,,,,,,,,"McWilliams, Steven P",,,,,
AMS,2300,051,,13,1,2,,,,,,,,,,,,"Werhnyak, Larissa",,,,,
AMS,2341,0H2,,7,8,6,5,1,1,,,,,,1,,,"Naqvi, Syed K",,,,,
AMS,3316,0W1,16,6,2,1,1,,,,,,,,,,,"Winstead, Elizabeth L",,,,,
AMS,3350,0W1,20,11,,,1,,,1,,,,,2,,,"Winstead, Elizabeth L",,,,,
AMS,4385,0W1,14,5,4,,1,1,,,,,,,4,,,"Winstead, Elizabeth L",,,,,
ARTS,1301,0U1,37,17,5,2,,2,,1,,,1,1,1,,,"Grandjean, Kelly","Alanis Perez, Alan Isaac",,,,
ARTS,1316,0U1,,7,1,2,3,,,1,1,,,,,,,"Metz, Greg L",,,,,
ARTS,3372,551,,12,2,,,1,2,,,,,,,,,"Loving, Emily",,,,,
ARTS,3379,591,,14,5,,,,,,,,,,1,,,"Loving, Emily",,,,,
ATCM,2301,051,3,2,1,7,2,2,2,,,,,,2,,,"Nielsen, Christina R",,,,,
ATCM,2335,0U1,,16,,1,3,,1,1,,1,,,3,,,"Stewart, Michael C",,,,,
ATCM,2335,0U2,,8,,1,4,,,1,,,,,2,,,"Stewart, Michael C",,,,,
ATCM,3301,0U1,2,7,1,,1,1,,1,3,,,,1,,,"Field, Jamie M",,,,,
ATCM,3301,0U2,,5,9,4,,1,,,,,,,,,,"Mulla, Ayesha",,,,,
ATCM,3301,0U3,,3,6,4,2,2,,,,,,1,,,,"Mulla, Ayesha",,,,,
ATCM,3301,5U1,,4,8,1,,3,,,1,,1,,3,,,"Rheams, David C",,,,,
ATCM,3306,0U1,1,5,4,3,2,,,,3,,1,,2,,,"Lewis, Timothy M",,,,,
ATCM,3307,0U1,,,4,4,2,1,2,,,,,1,3,,,"McCord, Peter A",,,,,
ATCM,3311,0U1,,1,3,3,2,3,1,4,3,,,2,3,,,"Lim, Fengjie",,,,,
ATCM,3337,0U1,12,11,2,1,1,,,,,,2,,,,,"Wood, Harold G",,,,,
ATCM,3337,5U1,7,4,2,3,1,,,1,,,,1,,,,"Lin, Colleen B",,,,,
ATCM,3338,0U1,8,6,3,1,4,2,,,,,,,5,,,"Camacho, Christopher J",,,,,
ATCM,3350,051,2,6,3,1,3,,1,1,1,,,,4,,,"Nielsen, Christina R",,,,,
ATCM,3368,0U1,2,4,,,,,,2,1,,,,1,,,"Chandler, Adam W",,,,,
ATCM,3388,0U1,1,7,11,3,3,3,,,,,,2,,,,"Bell, Elizabeth A","Whitlock, Kathryn",,,,
ATCM,4317,0U1,,11,,,,,,,,,,,,,,"Fechter, Todd A",,,,,
ATCM,4334,051,,11,6,3,2,1,,,,,,,,,,"Banner, Olivia P",,,,,
ATCM,4338,0U1,1,5,1,1,1,1,,,,1,,,1,,,"Chandler, Adam W",,,,,
ATCM,4350,051,13,,1,1,,,,1,,,,,,,,"Hewitt, Sharon",,,,,
ATCM,4364,0U1,,15,,,,,,,,,,,,,,"Farrar, Eric T",,,,,
ATCM,4384,5U1,2,9,15,1,3,,1,,1,,,,,,,"Rheams, David C",,,,,
AUD,6216,0U1,,10,5,,,,,,,,,,,,,"Cokely, Carol G",,,,,
AUD,6352,5U1,,10,4,1,,,,,,,,,,,,"Golboro, Andrew",,,,,
AUD,7240,5U1,,11,,,,,,,,,,,,,,"Griffiths, Scott K",,,,,
AUD,7310,0U1,,12,,,,,,,,,,,,,,"Clark, Jackie L",,,,,
AUD,7326,0U1,,15,,,,,,,,,,,,,,"Thibodeau, Linda K","Harris, Audrey N","Warner-Czyz, Andrea D","Tangerino De Souza Jacob, Regina",,
BA,1320,5U1,5,2,,3,1,,1,,3,,,,1,,,"Kiser, Stephen L",,,,,
BCOM,3200,0U1,17,9,5,1,3,3,2,2,1,,1,,,,,"Fry, Jennifer L",,,,,
BCOM,3200,0U2,4,11,6,6,8,1,1,1,,1,,,2,,,"Newcomb, Rebecca G",,,,,
BCOM,3200,5U1,16,18,5,1,,1,,,,,1,,,,,"Smallwood, James E",,,,,
BCOM,3310,0U1,3,12,12,1,2,1,1,1,,,,,2,,,"McCrady, Victoria D","Tanabe, Takuma",,,,
BCOM,3310,0U2,2,20,10,2,4,,,,,,,,,,,"Ahlberg, Mehrzad","Boncoeur, Olivier D",,,,
BCOM,3310,0U3,2,10,7,2,6,,1,,,,,,1,,,"Ahlberg, Mehrzad","Boncoeur, Olivier D",,,,
BCOM,3310,0U4,5,10,11,5,2,1,2,,,,,,2,,,"McCrady, Victoria D","Tanabe, Takuma",,,,
BCOM,3310,0U5,1,14,8,4,3,3,2,,,,1,,,,,"Fry, Jennifer L",,,,,
BCOM,3310,5U1,2,28,7,2,,,,,,,,,,,,"Moore, Sarah E","Tanabe, Takuma",,,,
BCOM,4350,0U1,24,4,3,3,1,,1,,1,1,,,,,,"de los Santos, Veronica",,,,,
BCOM,4350,0U2,7,18,6,1,2,2,,,2,1,,,1,,,"Smallwood, Margaret G","Liu, Yu",,,,
BCOM,4350,0U3,3,29,3,4,,,1,,,,,,,,,"Smallwood, Margaret G","Liu, Yu",,,,
BCOM,4350,0U4,17,4,11,,1,1,1,,1,1,,,1,,,"de los Santos, Veronica",,,,,
BCOM,4350,0U5,7,10,5,,2,2,1,,1,,,,3,,,"Watson, John M","Liu, Yu",,,,
BCOM,4350,5E1,4,19,7,2,1,1,1,1,,,,,,,,"Watson, John M","Liu, Yu",,,,
BCOM,4350,5U1,4,14,13,2,3,,1,,1,,,,,,,"Moore, Sarah E","Tanabe, Takuma",,,,
BIOL,2111,0U1,,22,,,5,,,7,,,1,,,,,"Maitra, Meenakshi","Salamat, Narges","Soladogun, Adedamola S",,,
BIOL,2111,0U2,,25,,,5,,,1,,,,,,,,"Maitra, Meenakshi","Salamat, Narges","Soladogun, Adedamola S",,,
BIOL,2112,0U1,4,7,4,6,2,1,1,1,1,,,,,,,"Wu, Zhuoru","Yetkin, Celal E",,,,
BIOL,2112,0U2,4,4,3,1,6,3,3,2,1,3,1,,1,,,"Wu, Zhuoru","Yetkin, Celal E",,,,
BIOL,2281,0U1,6,23,26,12,4,8,4,2,1,,,,,,,"Lin, Wen J","Shashikanth Raj Urs, Karthik Urs Bangalore","Do, Hung P","Xia, Jing","Buyukkahraman, Gozde","Ratevosyan, Richard"
BIOL,2311,0U1,,47,,,10,,,8,,,1,,,,,"Maitra, Meenakshi","Salamat, Narges","Soladogun, Adedamola S",,,
BIOL,2312,0U1,8,11,7,7,8,4,4,3,2,3,1,,1,,,"Wu, Zhuoru","Yetkin, Celal E",,,,
BIOL,3101,0U1,8,8,13,3,2,3,2,,1,,,,,,,"Srikanth, Uma","Tian, Jing",,,,
BIOL,3101,0U2,4,9,8,5,4,6,1,,,,,,,,,"Srikanth, Uma",,,,,
BIOL,3101,0U3,12,7,4,4,4,3,,,,,,,,,,"Srikanth, Uma","Cao, Lian",,,,
