Subject,"Catalog Number",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2301,001,12,4,7,4,3,7,3,1,1,,1,,6,,,,,4,"Holstead, Cameron",,,,,
ACCT,2301,002,13,9,6,5,6,4,1,7,2,,2,2,4,,,,,3,"He, Jiapeng",,,,,
ACCT,2301,003,9,7,,8,6,7,2,12,,1,2,,4,,,,,7,"Song, Dongye",,,,,
ACCT,2301,004,,18,,2,3,6,9,6,,2,2,,5,,,,,12,"Nathan, Brad",,,,,
ACCT,2301,005,13,8,3,5,1,8,11,4,4,6,2,,3,,,,,1,"Files, Rebecca L","Medina, Monica E",,,,
ACCT,2301,006,6,5,5,8,4,3,9,5,3,4,2,3,2,,,,,6,"Files, Rebecca L","Medina, Monica E",,,,
ACCT,2301,007,1,2,2,10,15,12,7,2,2,1,1,,5,,,,,2,"Butcher, Ammon",,,,,
ACCT,2301,009,6,7,6,13,10,1,8,3,3,1,,,4,,,,,3,"Zhou, Yibin","Manoj Vasudha Shivaani, Fnu",,,,
ACCT,2301,010,2,9,8,6,16,10,5,5,,,,1,,,,,,3,"Huang, Ying","Zhang, Yang",,,,
ACCT,2301,011,3,5,4,7,12,10,4,5,2,,1,1,1,,,,,5,"Huang, Ying","Zhang, Yang",,,,
ACCT,2301,501,,3,10,7,18,6,5,3,3,2,2,,3,,,,,3,"Huang, Ying","Zhang, Yang",,,,
ACCT,2301,HON,15,9,11,8,1,4,5,4,1,2,,,2,,,,,1,"Files, Rebecca L","Medina, Monica E",,,,
ACCT,2302,001,4,4,2,2,12,7,7,6,3,,6,,5,,,,,6,"Zolton, Kathy","Fang, Shelley M",,,,
ACCT,2302,002,4,12,2,4,12,6,2,10,,1,5,,1,,,,,5,"Zolton, Kathy","Fang, Shelley M",,,,
ACCT,2302,003,11,7,4,8,9,3,6,2,4,1,2,1,3,,,,,4,"Copat, Rafael","Clemens, Austin J",,,,
