Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2301,001,4,7,8,5,9,3,3,3,3,,,,1,21,2,,5,"Zhang, Jieying","Holstead, Cameron",,,,
ACCT,2301,002,9,4,5,7,5,5,2,5,1,,,,1,25,1,,4,"Zhang, Jieying","Holstead, Cameron",,,,
ACCT,2301,003,7,3,2,2,8,2,7,4,1,,,,,30,1,,8,"Huang, Ying","Song, Dongye",,,,
ACCT,2301,004,7,2,5,5,6,7,4,4,,1,,,,28,4,,1,"Huang, Ying","Song, Dongye",,,,
ACCT,2301,005,5,2,6,7,5,1,2,,1,2,,,6,5,12,,20,"Bowen, Richard M","Kim, Eun Sean",,,,
ACCT,2301,501,3,10,5,2,10,4,6,4,1,,,,1,23,,,6,"Huang, Ying","Song, Dongye",,,,
ACCT,2302,001,15,21,7,7,4,2,,1,,,,,,4,2,,2,"Pinto, Jedson P","Gencer, Nur Pinar",,,,
ACCT,2302,002,11,24,8,9,4,2,,2,,1,,,1,1,,,1,"Pinto, Jedson P","Gencer, Nur Pinar",,,,
ACCT,2302,003,7,13,8,9,5,6,1,1,1,1,,,,16,,,2,"Sinha, Kirti","Tatiparti, Venu Madhav",,,,
ACCT,2302,004,7,16,6,5,5,4,3,1,3,,,,,13,5,,2,"Sinha, Kirti","Tatiparti, Venu Madhav",,,,
ACCT,2302,005,3,16,6,6,12,,2,5,,3,2,1,,8,3,,2,"Dai, Zhonglan","Nathan, Brad",,,,
ACCT,2302,006,4,25,5,2,14,,,3,,3,3,,,7,3,,1,"Dai, Zhonglan","Nathan, Brad",,,,
ACCT,2302,007,1,19,5,5,12,3,1,,,1,2,,5,5,2,,5,"Dai, Zhonglan","Nathan, Brad",,,,
ACCT,2302,501,8,15,6,8,2,1,1,,2,,,2,2,20,2,,1,"Sinha, Kirti","Tatiparti, Venu Madhav",,,,
ACCT,3101,PPA,,,,,,,,,,,,,,76,,,0,"Bortz, Tiffany A","Chaturvedi, Sneha",,,,
ACCT,3322,001,2,13,2,4,11,1,1,3,,,4,,,12,1,,5,"Goodrich, Mary Beth W","Burnette, Naomi R",,,,
ACCT,3331,001,1,4,8,2,3,2,6,4,,2,1,2,1,6,5,,6,"Zhou, Yibin","Chaturvedi, Sneha",,,,
ACCT,3331,002,1,6,2,3,3,3,2,2,,2,3,,,6,2,,5,"Zhou, Yibin","Chaturvedi, Sneha",,,,
ACCT,3331,501,4,2,5,3,9,4,2,1,4,,3,,1,12,5,,5,"Solcher, Steven J","Kim, Eun Sean",,,,
ACCT,3332,001,7,7,5,4,7,1,,5,,2,3,4,2,10,4,,5,"Bortz, Tiffany A","Chaturvedi, Sneha",,,,
ACCT,3332,501,,2,,,5,,,3,,,5,,2,10,2,,8,"Karnuta, Daniel","Le, My-Duyen T",,,,
ACCT,3341,001,6,14,7,13,6,6,1,,,,,,,10,,,2,"Sadka, Gil","Sandhu, Gurvinder",,,,
ACCT,3341,501,2,10,7,9,8,7,,,,1,,,1,5,1,,1,"Sadka, Gil","Sandhu, Gurvinder",,,,
ACCT,3350,001,4,10,3,3,4,6,2,1,2,,,,1,5,2,,2,"Gamino, John P",,,,,
ACCT,3350,501,1,5,,,5,2,,1,6,,1,1,,7,4,,1,"Gamino, John P",,,,,
ACCT,3350,PPA,3,9,8,6,15,4,2,,3,,,,,20,7,,0,"Gamino, John P",,,,,
ACCT,4301,001,,5,6,5,2,,1,,,,,,,3,2,,3,"Narayan, Ravishankar L","Jagtap, Himanshu S","Verma, Chinmay",,,
ACCT,4334,001,,15,,1,12,,1,3,1,,2,,,5,,,4,"Linsteadt, Chris C","Truong, Timothy T",,,,
ACCT,4334,501,,14,,,7,,,1,,,,,1,4,,,2,"Linsteadt, Chris C","Truong, Timothy T",,,,
ACCT,4336,001,2,2,2,,,1,,2,1,,,,1,3,,,0,"Bowen, Richard M","Kim, Eun Sean",,,,
ACCT,4337,501,,4,1,3,8,1,,3,,,1,,,8,2,,0,"Ballew, Gregory E",,,,,
ACCT,4340,001,17,14,8,6,3,,,,2,1,,,3,3,3,,0,"Johnson, Jennifer","Garcia, Gerardo E",,,,
ACCT,4342,001,,7,1,3,7,2,3,3,1,1,2,2,,7,1,,1,"Johnson, Jennifer","Garcia, Gerardo E",,,,
ACCT,4342,501,3,7,4,4,5,3,,1,2,2,,,1,7,1,,0,"Johnson, Jennifer","Garcia, Gerardo E",,,,
ACCT,4342,PP1,1,5,5,4,4,1,,,,,,,,2,,,0,"Johnson, Jennifer","Garcia, Gerardo E",,,,
ACCT,4342,PP2,5,8,7,6,6,1,,,1,,,,1,12,,,0,"Johnson, Jennifer","Garcia, Gerardo E",,,,
ACCT,6193,SS1,,16,,,30,,,13,,,,,3,,,8,0,"Betanzos, Christina L","Solcher, Steven J",,,,
ACCT,6202,501,,16,24,11,6,3,,,,,,,,,,7,0,"Janakiraman, Surya","He, Jiapeng",,,,
ACCT,6202,CH1,,12,4,2,1,2,,,,,,,,,,,0,"Sadka, Gil",,,,,
ACCT,6202,GW1,,21,11,7,3,1,,,,,,,,,,1,0,"Sadka, Gil",,,,,
ACCT,6202,MBC,,15,16,6,3,1,,,,,,,,,,14,1,"Janakiraman, Surya","He, Jiapeng",,,,
ACCT,6202,MBP,,10,12,5,3,,,,,,,,,,,14,0,"Janakiraman, Surya","He, Jiapeng",,,,
ACCT,6202,PS1,,5,,1,,2,,,,,,,,,,1,1,"Zolton, Kathy",,,,,
ACCT,6202,XS1,,27,2,,,,,,,,,,,,,,0,"Sadka, Gil",,,,,
ACCT,6291,SS1,,39,,,16,,,3,,,,,,,,10,3,"Zolton, Kathy",,,,,
ACCT,6292,SS1,,36,,,21,,,3,,,,,3,,,9,0,"Linsteadt, Chris C",,,,,
ACCT,6301,0W1,,13,11,6,8,1,,,,,,,1,,,13,2,"Ali, Ashiq","Sandhu, Gurvinder",,,,
ACCT,6301,501,,25,8,9,6,2,,,,,,,3,,,9,3,"Ballew, Gregory E","Herr-Perez, Noe C",,,,
ACCT,6305,001,,29,,1,4,,1,,,,,,1,,,15,2,"Loumioti, Maria","Agrawal, Ruchi",,,,
ACCT,6305,501,,28,,1,1,,1,,,,,,2,,,1,1,"Loumioti, Maria","Agrawal, Ruchi",,,,
ACCT,6305,502,,31,,6,7,,3,,,,,,,,,10,1,"Loumioti, Maria","Agrawal, Ruchi",,,,
ACCT,6320,0W1,,4,3,5,2,1,1,,,,,,,,,4,0,"Cavusoglu, Huseyin","Ozdemir, Dicle Yagmur",,,,
ACCT,6330,501,,13,7,2,5,1,,1,,,,,,,,2,3,"Goodrich, Mary Beth W","Burnette, Naomi R",,,,
ACCT,6331,501,,10,5,5,3,1,2,,,,,,,,,5,1,"Natarajan, Ramachandran","Zhou, Junfei",,,,
ACCT,6332,501,,10,,,7,,,,,,,,4,,,9,4,"Zolton, Kathy","Le, My-Duyen T",,,,
ACCT,6332,SS1,,3,2,1,3,1,,,,,,,,,,2,0,"Zhang, Jieying",,,,,
ACCT,6333,501,,16,,,12,,,1,,,,,3,,,12,2,"Zolton, Kathy","Burnette, Naomi R",,,,
ACCT,6334,501,,7,,,5,,,,,,,,,,,2,1,"Linsteadt, Chris C","Truong, Timothy T",,,,
ACCT,6334,SS1,,6,,,7,,,,,,,,,,,1,0,"Linsteadt, Chris C",,,,,
