Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2301,5U1,9,3,3,,1,2,,1,,1,,5,1,,,,1,"Gencer, Nur Pinar",,,,,
ACCT,2302,5U1,4,7,6,6,10,,8,3,,,,,5,,,,2,"Zolton, Kathy","He, Jiapeng",,,,
ACCT,3331,5U1,1,2,2,3,2,1,4,3,2,,1,1,,,,,0,"Zhou, Yibin",,,,,
ACCT,3341,5U1,1,4,6,1,2,1,1,1,,,,,,,,,0,"Sandhu, Gurvinder",,,,,
ACCT,3350,5U1,4,2,3,1,1,,3,1,,3,,1,2,,,,0,"Gamino, John P",,,,,
ACCT,4334,5U1,,3,2,2,8,,4,4,,1,,1,,,,,0,"Hes, Christopher A","Holstead, Cameron",,,,
ACCT,4340,0U1,7,4,3,1,1,,1,4,,1,,1,,,,,2,"Johnson, Jennifer",,,,,
ACCT,6194,SW1,,8,,,3,,,1,,,,,,,,,0,"Johnson, Jennifer",,,,,
ACCT,6202,5U1,,7,15,13,8,8,2,3,,,,,2,,,,2,"Janakiraman, Surya","He, Jiapeng",,,,
ACCT,6287,XS1,,30,,,,,,,,,,,,,,,0,"McNulty, Diane S",,,,,
ACCT,6292,SW1,,7,,,5,,,,,,,,,,,,0,"Linsteadt, Chris C",,,,,
ACCT,6301,5U1,,11,8,9,13,5,3,3,,,,,4,,,,4,"Ballew, Gregory E","Nathan, Brad",,,,
ACCT,6305,5U1,,5,6,6,,,,2,,,,,,,,,0,"Janakiraman, Surya","He, Jiapeng",,,,
ACCT,6313,5U1,,4,1,4,3,3,1,1,,,,,,,,,0,"Shroff, Tejas N","Chen, Luoying",,,,
ACCT,6333,5U1,,12,,,11,,,7,,,,,1,,,,2,"Zolton, Kathy","He, Jiapeng",,,,
ACCT,6338,5U1,,17,2,4,20,2,,2,,,,,2,,,,2,"Goodrich, Mary Beth W","Nathan, Brad",,,,
ACCT,6344,0W1,,10,18,26,9,2,2,,,,,,,,,,0,"Gurun, Umit","Song, Dongye",,,,
ACCT,6365,5U1,,18,9,25,5,9,9,,,,,,,,,,0,"Cheng, Samuel",,,,,
ACCT,6367,5U1,,18,12,7,2,2,,2,,,,,,,,,0,"Gamino, John P","Frost, Sandra M",,,,
ACCT,6373,5U1,,9,19,21,11,5,2,,,,,,1,,,,0,"Hes, Christopher A","Holstead, Cameron",,,,
ACCT,6384,5U1,,54,5,3,1,,,,,,,,1,,,,5,"Kromer, Jeffrey","Nathan, Brad",,,,
ACN,6338,0U1,,13,,,7,,,,,,,,,,,,1,"Sultana, Rukhsana",,,,,
ACN,6340,0U1,,7,5,1,3,1,3,1,,,,,1,,,,2,"Kroener, Sven",,,,,
ACN,6V81,0W1,,18,1,,,,,,,,,,,,,,0,"McWilliams, Steven P",,,,,
AHST,3319,091,,1,1,1,,1,,1,2,,,,4,,,,1,"Terranova, Charissa",,,,,
AMS,2300,0W1,,11,2,3,10,1,1,,,,,,1,,,,1,"Werhnyak, Larissa",,,,,
AMS,2300,0W2,,4,3,5,6,,2,2,,1,,,4,,,,0,"Pogue, Neall W",,,,,
AMS,2341,0W1,,2,6,5,10,,,,,,,,3,,,,2,"Naqvi, Syed K",,,,,
AMS,3316,0W1,21,5,1,,2,,,,,,,,,1,,,0,"Winstead, Elizabeth L",,,,,
AMS,4385,0W1,11,10,3,,2,,1,2,,,,,2,,,,0,"Winstead, Elizabeth L",,,,,
ARTS,1301,0W1,11,27,9,6,5,4,5,3,,2,2,,3,,,,2,"Grandjean, Kelly","Prakash, Arya",,,,
ARTS,3372,551,,9,4,3,,,,,,,,,2,,,,0,"Loving, Emily",,,,,
ARTS,3379,591,,5,4,2,1,,1,,,,,,1,,,,1,"Loving, Emily",,,,,
ATCM,2302,051,8,10,,1,2,1,,,,,1,1,2,,,,0,"Minnish, Roxanne W",,,,,
ATCM,2310,0U1,9,2,1,6,3,,,1,,,,1,3,,,,1,"Salter, Monika M",,,,,
ATCM,2321,0U1,,13,7,3,1,2,,,,,,1,1,,,,0,"Mulla, Ayesha",,,,,
ATCM,2330,051,1,3,6,3,,1,1,1,,,,,,,,,1,"Nielsen, Christina R",,,,,
ATCM,2335,0W1,,5,,,3,1,,1,,,1,1,4,,,,3,"Stewart, Michael C",,,,,
ATCM,3301,0W1,4,2,4,3,,2,,2,,1,,,,,,,0,"Landers, Sean M",,,,,
ATCM,3301,0W2,2,3,4,,,,,1,2,,,,,,,,1,"Rheams, David C",,,,,
ATCM,3301,0W3,,6,2,1,2,,2,,,,,,5,,,,1,"Field, Jamie M",,,,,
ATCM,3301,0W4,,1,6,2,1,1,,,,,,,,,,,1,"Ramakrishnan, Sharathchandra",,,,,
ATCM,3306,0U1,4,1,4,3,3,4,1,,1,,2,,1,,,,2,"Lewis, Timothy M",,,,,
ATCM,3307,0U1,1,3,10,4,,1,1,,3,1,,,5,,,,0,"McCord, Peter A",,,,,
ATCM,3315,0W1,,7,13,4,3,1,1,1,,,,,,,,,0,"Veras de Souza, Christine",,,,,
ATCM,3336,0U1,,8,7,5,5,2,2,,,,,,1,,,,0,"McKinney, Mark",,,,,
ATCM,3337,0U1,8,10,2,6,1,,,2,,,,,,,,,0,"Wood, Harold G",,,,,
ATCM,3338,0U1,9,1,3,2,5,1,1,2,,,1,,3,,,,1,"Camacho, Christopher J",,,,,
ATCM,3338,0U2,5,2,2,4,1,1,2,4,,,2,,3,,,,1,"Camacho, Christopher J",,,,,
ATCM,3350,051,16,2,4,1,1,,,,,,,,2,,,,2,"Trosper, Elizabeth M",,,,,
ATCM,3367,0U1,1,1,4,2,1,2,,,,,,,2,,,,1,"Chandler, Adam W",,,,,
ATCM,4330,051,4,8,4,,1,,,,2,,,1,2,,,,0,"Nielsen, Christina R",,,,,
ATCM,4350,0W1,8,5,6,3,1,1,1,,2,,,,3,,,,0,"Hewitt, Sharon",,,,,
ATCM,4384,0W1,1,8,12,7,1,,,,1,,,,,,,,0,"Rheams, David C",,,,,
AUD,6216,0U1,,7,3,,,,,,,,,,,,,,0,"Cokely, Carol G",,,,,
AUD,7240,5U1,,13,,,,,,,,,,,,,,,0,"Griffiths, Scott K",,,,,
AUD,7310,5U1,,23,,,,,,,,,,,,,,,0,"Clark, Jackie L",,,,,
AUD,7325,0W1,,8,,,2,,,,,,,,,,,,0,"Thibodeau, Linda K","Warner-Czyz, Andrea D","Havens, Rebekah",,,
BA,1320,5U1,,2,1,2,3,1,,4,,,,,,,,,0,"Lewin, Peter","Kelly, Matthew L",,,,
