Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2301,001,17,7,3,14,7,3,2,4,1,1,,,1,,,,,0,"Gu, Dongdi",,,,,
ACCT,2301,002,10,7,5,6,4,4,4,1,7,3,,,5,,,,,3,"Gu, Dongdi",,,,,
ACCT,2301,003,8,11,8,4,11,5,4,4,,,,,3,,,,,1,"Zhang, Yang",,,,,
ACCT,2301,004,4,10,7,17,5,3,6,4,1,,,1,1,,,,,1,"Parupati, Sunil K",,,,,
ACCT,2301,005,21,11,4,13,3,3,2,3,1,1,,1,,,,,,2,"Files, Rebecca L","Quinto, Christine D",,,,
ACCT,2301,006,12,8,11,9,6,3,8,1,3,,1,1,,,,,,2,"Files, Rebecca L","Quinto, Christine D",,,,
ACCT,2301,007,9,9,4,6,2,10,5,12,,,,,3,,,,,0,"Holst1ead, Cameron",,,,,
ACCT,2301,008,1,9,9,5,14,4,2,15,1,1,,,,,,,1,3,"Huang, Ying","Zhou, Junfei",,,,
ACCT,2301,009,16,4,2,7,1,5,5,3,8,3,3,3,1,,,,,4,"Siano, Federico","Gonzalez, Jacob E",,,,
ACCT,2301,010,2,7,7,9,8,2,7,15,,1,,1,2,,,,,3,"Huang, Ying","Zhou, Junfei",,,,
ACCT,2301,011,16,5,11,6,2,6,5,4,2,1,2,1,3,,,,,1,"Siano, Federico","Gonzalez, Jacob E",,,,
ACCT,2301,012,9,9,5,13,2,4,2,8,,,1,,4,,,,,3,"He, Jiapeng",,,,,
ACCT,2301,501,,2,3,11,17,1,3,7,3,,1,2,4,,,,,5,"Huang, Ying","Zhou, Junfei",,,,
ACCT,2301,HON,18,8,7,6,6,4,3,,1,,1,,,,,,,0,"Files, Rebecca L","Quinto, Christine D",,,,
ACCT,2302,001,4,6,3,2,15,,5,14,,2,6,,3,,,,1,4,"Zolton, Kathy","Huang, Ziqi",,,,
ACCT,2302,002,5,18,1,2,11,,2,6,,5,6,,5,,,,,2,"Zolton, Kathy","Huang, Ziqi",,,,
ACCT,2302,003,12,9,8,4,6,3,8,5,2,1,2,1,3,,,,,1,"Copat, Rafael","Batitang, Mark Joseph D",,,,
ACCT,2302,004,15,10,6,3,9,4,4,2,1,2,2,,2,,,,,3,"Copat, Rafael","Batitang, Mark Joseph D",,,,
ACCT,2302,005,13,9,3,11,9,5,3,1,,2,1,1,3,,,,,2,"Copat, Rafael","Batitang, Mark Joseph D",,,,
ACCT,2302,501,4,3,,4,3,,5,4,4,,3,,4,,,,,9,"Dai, Zhonglan","Zhou, Junfei",,,,
ACCT,3312,001,11,13,11,6,6,1,,,,1,,,,,,,,0,"Johnson, Jennifer","Fisch, Jacob D",,,,
ACCT,3322,001,2,11,5,2,12,2,2,4,,2,2,,3,,,,,10,"Goodrich, Mary Beth W","Batitang, Mark Joseph D",,,,
ACCT,3331,001,15,4,10,13,2,3,1,5,,1,1,,,,,,,5,"Zhou, Yibin","Ku, Catherine M",,,,
ACCT,3331,002,16,5,4,5,8,4,2,8,,1,1,,2,,,,,3,"Zhou, Yibin","Ku, Catherine M",,,,
ACCT,3331,003,6,3,3,2,5,5,1,7,,2,,1,,,,,,4,"Zhou, Yibin","Ku, Catherine M",,,,
ACCT,3331,501,3,,5,4,5,5,2,4,,,,,2,,,,,2,"Solcher, Steven J","Estevan, Ellery B",,,,
ACCT,3332,001,2,7,6,2,5,2,1,7,5,5,7,6,4,,,,,8,"Bortz, Tiffany A","Estevan, Ellery B",,,,
ACCT,3332,501,2,3,5,1,6,1,2,2,2,2,2,,3,,,,1,9,"Bortz, Tiffany A","Estevan, Ellery B",,,,
ACCT,3332,PPA,6,10,1,4,11,2,5,13,,1,4,2,1,,,,,0,"Bortz, Tiffany A","Sam, Brittany R","Estevan, Ellery B",,,
ACCT,3341,002,2,5,4,4,8,2,3,6,3,,3,1,3,,,,,7,"Goodrich, Mary Beth W",,,,,
ACCT,3341,501,3,,1,3,3,1,,4,2,,1,1,2,,,,,4,"Goodrich, Mary Beth W",,,,,
ACCT,3350,002,5,4,4,3,1,3,4,2,2,1,2,1,6,,,,,1,"Gamino, John P",,,,,
ACCT,3350,501,,16,8,6,15,5,5,,1,,,,2,,,,,2,"Frost, Sandra M","Estevan, Ellery B",,,,
ACCT,4301,501,1,1,4,3,2,2,2,,2,2,1,,1,,,,,1,"Hagen, John C","Ramabhotla, Naga Madhulatha",,,,
ACCT,4302,PP1,5,5,4,5,6,2,,,,,,,1,,,,,0,"Markov, Stanimir","Yayvak, Berk",,,,
ACCT,4302,PP2,8,10,8,6,,,,,,,,,,,,,,0,"Markov, Stanimir","Yayvak, Berk",,,,
ACCT,4334,001,,12,,,11,,,13,1,,1,,2,,,,,0,"Linsteadt, Chris C","Gotham, Albert J",,,,
ACCT,4334,501,,3,,,4,1,,5,,,1,,,,,,,0,"Linsteadt, Chris C","Gotham, Albert J",,,,
ACCT,4334,PPA,,15,,,32,1,,11,,,,,1,,,,,0,"Linsteadt, Chris C","Gotham, Albert J",,,,
ACCT,4336,001,,7,7,23,5,3,,2,,1,,,,,,,,2,"Gurun, Umit","Yayvak, Berk",,,,
ACCT,4337,501,,1,1,4,4,3,1,2,,,,,2,,,,,1,"Ballew, Gregory E","Fisch, Jacob D",,,,
ACCT,4340,001,10,11,2,4,1,,2,2,,,,1,,,,,,1,"Johnson, Jennifer","Fisch, Jacob D",,,,
ACCT,4342,001,2,13,7,6,3,2,6,3,2,2,,,1,,,,,1,"Johnson, Jennifer","Fisch, Jacob D",,,,
ACCT,4342,501,1,4,1,6,1,2,1,,,,,,,,,,,0,"Johnson, Jennifer","Fisch, Jacob D",,,,
ACCT,6202,0W1,,6,19,15,8,10,3,2,,,,,2,,,,1,1,"Janakiraman, Surya","Huang, Ziqi",,,,
ACCT,6202,GW1,,10,4,2,1,,,,,,,,,,,,2,0,"Sadka, Gil","Holstead, Cameron",,,,
ACCT,6301,001,,9,2,5,6,2,3,4,,,,,1,,,,,1,"Ballew, Gregory E","Fisch, Jacob D",,,,
ACCT,6301,0W1,,18,9,13,11,3,5,2,,,,,1,,,,,4,"Ali, Ashiq","Zhang, Ye",,,,
