Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2301,5U1,,6,1,2,1,2,3,1,,,,,,,,1,"Files, Rebecca L","Gu, Dongdi",,,,
ACCT,2302,5U1,6,4,3,,3,1,3,4,2,4,3,1,,,,4,"Zolton, Kathy","He, Jiapeng",,,,
ACCT,3331,5U1,2,1,4,2,,1,3,1,3,,1,,,,,4,"Zhou, Yibin","Gu, Dongdi",,,,
ACCT,3341,5U1,1,2,2,2,2,1,2,,1,1,2,,,,,0,"Johnson, Jennifer","Zhang, Yang",,,,
ACCT,3350,5U1,,2,2,,6,2,3,1,,,1,,,,,0,"Gamino, John P",,,,,
ACCT,4334,5U1,,1,1,3,5,1,,2,1,2,,,,,,0,"Hes, Christopher A","Gu, Dongdi",,,,
ACCT,4340,5U1,4,7,1,1,4,4,,1,1,,1,,,,,1,"Johnson, Jennifer",,,,,
ACCT,6194,SW1,,6,,,2,,,,,,,,,,,2,"Johnson, Jennifer",,,,,
ACCT,6202,0W1,,9,13,12,11,5,3,2,,,,,,,,1,"Janakiraman, Surya","Zhang, Yang",,,,
ACCT,6301,5U1,,3,4,7,5,3,,1,,,,,1,,,1,"Ballew, Gregory E","Holstead, Cameron",,,,
ACCT,6305,0W1,,15,11,12,2,,,,,,,,,,,1,"Janakiraman, Surya","Zhang, Yang",,,,
ACCT,6330,0W1,,1,,1,3,,,3,,,,,1,,,2,"Cready, William M","Holstead, Cameron",,,,
ACCT,6331,0W1,,1,,,8,,,1,,,,,,,,1,"Cready, William M","Holstead, Cameron",,,,
ACCT,6331,SW1,,4,8,4,1,,,,,,,,,,,0,"Janakiraman, Surya","Zhang, Yang",,,,
ACCT,6333,5U1,,7,,,6,,,1,,,,,,,,1,"Zolton, Kathy","He, Jiapeng",,,,
ACCT,6338,5D1,,16,3,,4,,,,,,,,,,,0,"Goodrich, Mary Beth W",,,,,
ACCT,6344,0W1,,25,16,14,4,2,,,,,,,,,,0,"Gurun, Umit","Gu, Dongdi","Holstead, Cameron",,,
ACCT,6344,SW1,,9,4,3,,,,,,,,,,,,0,"Solcher, Steven J","Zolton, Kathy",,,,
ACCT,6353,PPA,,12,12,3,4,,,,,,,,,,,0,"Solcher, Steven J",,,,,
ACCT,6365,5U1,,17,19,21,9,8,1,,,,,,,,,0,"Cheng, Samuel",,,,,
ACCT,6367,5U1,,38,5,1,4,1,,1,,,,,,,,0,"Gamino, John P","Frost, Sandra M",,,,
ACCT,6384,0W1,,56,5,2,,,,,,,,,1,,,1,"Kromer, Jeffrey","He, Jiapeng",,,,
ACCT,6392,5U1,,4,20,20,14,3,,,,,,,,,,0,"Hes, Christopher A","Gu, Dongdi",,,,
ACN,6338,0U1,,5,,,4,,,,,,,,,,,1,"Sultana, Rukhsana",,,,,
ACN,6344,0W1,,12,,,,,,,,,,,,,,0,"Orrick, Erika D",,,,,
ACN,6395,0W1,,10,1,1,,,,1,,,,,,,,0,"Hooge, Kimberley O",,,,,
ACN,6V81,0U1,,17,1,,1,,,,,,,,,,,0,"McWilliams, Steven P",,,,,
AMS,2300,0U1,,6,2,1,3,,,1,,,,,,,,0,"Werhnyak, Larissa",,,,,
AMS,3316,0W1,14,7,6,1,,,1,,,,,,1,,,0,"Winstead, Elizabeth L",,,,,
AMS,4385,0W1,8,9,4,1,1,4,1,,,,,,3,,,1,"Winstead, Elizabeth L",,,,,
ARTS,1301,0W1,13,6,1,3,2,,,2,2,,1,,,,,0,"Wilder, James E","Bennett, Rodger",,,,
ARTS,1316,0U1,8,5,2,,1,,,,,,,,,,,1,"Miranda, Jeffrey",,,,,
ARTS,3367,0U1,10,3,3,,,,,,,,,,,,,0,"Miranda, Jeffrey",,,,,
ARTS,3379,591,9,4,,,1,1,,,,,,,1,,,1,"Loving, Emily",,,,,
ATCM,2300,051,4,6,1,2,2,1,,,,,,,,,,0,"Ferreira de Souza, Leticia",,,,,
ATCM,2301,551,,7,2,1,,1,2,,1,,,,,,,0,"Nguyen, Tuoc K",,,,,
ATCM,2302,051,5,1,2,,3,1,,1,,,,,1,,,0,"Minnish, Roxanne W",,,,,
ATCM,2303,5U1,16,,,,,,,,,,,,,,,0,"Stewart, Michael C",,,,,
ATCM,2350,0U1,8,3,2,,,,,,,,,,,,,0,"Hoggatt, Zane C",,,,,
ATCM,3301,0U1,,1,3,1,,4,,1,1,,,,1,,,0,"Heaslip, Audra",,,,,
ATCM,3301,0W1,,3,5,3,,,,,,,,,3,,,1,"Ramakrishnan, Sharathchandra",,,,,
ATCM,3301,0W2,10,4,4,,,,,,,,,,,,,1,"Fraley, James M",,,,,
ATCM,3305,0U1,,1,2,2,7,3,,,1,,,2,1,,,0,"McComber, Sean",,,,,
ATCM,3306,0U1,,5,3,3,3,2,,1,1,1,1,1,4,,,2,"McCord, Peter A",,,,,
ATCM,3307,0U1,,1,2,4,2,5,1,,2,,,,2,,,0,"McCord, Peter A",,,,,
ATCM,3337,0U1,5,2,7,,1,,,,,,1,,2,,,0,"Wood, Harold G",,,,,
ATCM,3338,051,7,4,4,1,4,3,2,,,,1,,1,,,1,"Camacho, Christopher J",,,,,
ATCM,3350,0W1,7,8,6,2,1,1,,1,,,,1,3,,,0,"Hewitt, Sharon",,,,,
ATCM,3367,0U1,4,4,3,,3,,,,,,,1,4,,,0,"Lewis, Timothy M",,,,,
ATCM,3388,0U1,13,3,5,1,2,2,,,,1,,1,1,,,0,"Fraley, James M",,,,,
ATCM,4319,0U1,2,6,,,,,1,,1,,,,,,,1,"Fechter, Todd A","McComber, Sean",,,,
ATCM,4320,591,5,5,8,2,,1,,,1,,,,1,,,0,"Rheams, David C",,,,,
ATCM,4330,051,5,1,2,,,2,,,1,,,,,,,0,"Nielsen, Christina R",,,,,
ATCM,4350,0W1,8,4,2,1,1,1,,1,1,,,,3,,,0,"Hewitt, Sharon",,,,,
ATCM,4364,051,25,2,,,3,,,,,,,,,,,0,"Trosper, Elizabeth M",,,,,
ATCM,4384,551,12,4,5,3,2,,,1,1,,,,2,,,0,"Rheams, David C",,,,,
AUD,6216,0U1,,11,2,,,,,,,,,,,,,0,"Cokely, Carol G","Woodford, Allison S",,,,
AUD,6352,5U1,,24,,,,,,,,,,,,,,0,"Clark, Jackie L","Zang, Andie L",,,,
AUD,7325,0U1,,8,3,,1,,,1,,,,,,,,0,"Thibodeau, Linda K","Warner-Czyz, Andrea D","Jansen, Conner L","Vu, Katrina D",,
BA,1320,5U1,,6,3,1,3,,,1,,,,,,,,0,"Lewin, Peter","Kelly, Matthew L",,,,
BCOM,3300,0U1,,1,5,1,2,7,4,2,4,1,,2,2,,,0,"Fry, Jennifer L",,,,,
BCOM,3300,5U1,,,5,3,4,1,2,,3,,3,,3,,,0,"Fry, Jennifer L",,,,,
BCOM,4300,091,,,1,3,4,5,2,3,3,3,,1,1,,,1,"Stewart, Julie",,,,,
BCOM,4300,0U1,,,2,3,5,5,2,1,1,1,,1,,,,0,"Said, Stacey",,,,,
BCOM,4300,0U2,,2,7,1,1,2,2,,,,1,,1,,,0,"Walton, Michaella",,,,,
BCOM,4300,0U3,,3,4,2,4,1,,,,,1,,2,,,0,"Walton, Michaella",,,,,
BCOM,4300,0U4,,1,3,3,,6,1,2,2,,,,1,,,0,"Harrison, Megan K",,,,,
BCOM,4300,0U5,,2,4,3,6,1,1,,3,,,,,,,1,"Blockley, Caylin",,,,,
BCOM,4300,5E1,,2,1,2,1,1,1,1,1,,,,,,,0,"Moore, Sarah E",,,,,
BCOM,4300,5U1,,6,6,4,3,9,3,3,1,,,3,1,,,1,"Moore, Sarah E",,,,,
BIOL,2111,0U1,6,1,4,2,2,4,2,,,,,,,,,0,"Sarcar, Subha N","Kwende, Sharon A","Xu, Linyi",,,
BIOL,2112,0U1,3,3,2,1,7,1,1,3,2,1,1,1,6,,,4,"Wu, Zhuoru","Tiwari, Suman","Alemi, Parinazsadat","Chase, Rebecca L",,
BIOL,2112,0U2,10,1,2,3,4,2,1,,,1,1,2,7,,,3,"Wu, Zhuoru","Tiwari, Suman","Chase, Rebecca L","Alemi, Parinazsadat",,
BIOL,2281,3U1,1,2,4,1,3,3,1,1,1,,,,1,,,1,"Lin, Wen J","Xia, Jing","Easterwood, Shayne","Basu, Ujjaini","Do, Hung P","Mittal, Shubham"
BIOL,2281,3U3,,3,4,1,1,1,,2,,,1,,1,,,1,"Lin, Wen J","Xia, Jing","Easterwood, Shayne","Basu, Ujjaini","Do, Hung P","Mittal, Shubham"
