Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2301,1,7,4,7,4,7,13,9,5,3,1,,,5,,,,,2,"Zhang, Jieying","Zhang, Yang",,,,
ACCT,2301,2,6,8,12,4,8,7,9,5,1,2,,,3,,,,,2,"Zhang, Jieying","Zhang, Yang",,,,
ACCT,2301,3,5,16,3,8,3,8,6,3,6,4,,,1,,,,,4,"Zhang, Jieying","Zhang, Yang",,,,
ACCT,2301,4,,14,10,16,8,4,3,2,1,1,1,,1,,,,,6,"Ozel, Naim Bugra","Gu, Dongdi",,,,
ACCT,2301,5,2,19,11,14,6,7,,1,2,,1,1,1,,,,,2,"Ozel, Naim Bugra","Gu, Dongdi",,,,
ACCT,2301,6,2,14,8,13,10,8,,2,2,,1,1,2,,,,,4,"Ozel, Naim Bugra","Gu, Dongdi",,,,
ACCT,2301,501,8,5,3,6,5,8,5,7,5,,6,1,7,,,,,2,"Zhou, Yibin","Yayvak, Berk",,,,
ACCT,2302,6,6,11,1,3,9,4,1,9,3,3,2,1,5,,,,,2,"Dai, Zhonglan","Zhou, Junfei",,,,
ACCT,2302,1,5,13,10,15,7,6,4,1,5,1,,1,,,,,,0,"Pereira Pinto, Jedson","Kim, Jongha",,,,
ACCT,2302,2,2,5,14,9,11,11,4,4,3,1,2,1,1,,,,,0,"Pereira Pinto, Jedson","Kim, Jongha",,,,
ACCT,2302,4,4,11,14,10,6,4,8,2,3,1,1,1,1,,,,,2,"Pereira Pinto, Jedson","Kim, Jongha",,,,
ACCT,2302,7,3,14,8,5,9,5,4,4,4,2,4,,1,,,,,5,"Zolton, Kathy","Huang, Ziqi",,,,
ACCT,2302,501,1,2,7,3,8,8,5,12,,5,2,3,6,,,,,8,"Hes, Christopher","Huang, Ziqi",,,,
ACCT,2302,8,6,2,6,6,9,1,3,3,3,,2,,6,,,,,6,"Dai, Zhonglan","Zhou, Junfei",,,,
ACCT,2302,3,5,8,5,6,5,5,4,10,6,5,4,1,1,,,,,1,"Sinha, Kirti","Zhang, Ye",,,,
ACCT,2302,5,4,12,4,4,10,9,5,7,3,2,1,3,3,,,,,0,"Sinha, Kirti","Zhang, Ye",,,,
ACCT,3101,PPA,,,,,,,,,,,,,,,69,,,0,"Bortz, Tiffany A","Sam, Brittany R",,,,
ACCT,3312,1,6,9,10,8,5,2,4,1,1,,1,,,,,,,2,"Johnson, Jennifer G","Fisch, Jacob D",,,,
ACCT,3322,1,2,12,1,3,4,2,,3,1,2,,1,4,,,,,1,"Goodrich, Mary Beth W","Zhang, Ye","Quinto, Christine D",,,
ACCT,3331,501,,4,,,10,,2,8,,,2,,3,,,,,0,"Zhang, Yuan","Parupati, Sunil K",,,,
ACCT,3331,2,,9,,,7,,,12,3,,1,,6,,,,,3,"Zhang, Yuan","Parupati, Sunil K",,,,
ACCT,3331,1,,11,,,16,,1,12,,,3,,2,,,,,1,"Zhang, Yuan","Parupati, Sunil K",,,,
ACCT,3332,501,,6,,,9,,,9,,,3,,2,,,,,1,"Karnuta, Daniel","Gonzalez, Jacob E",,,,
ACCT,3332,1,7,9,3,4,6,1,3,10,1,3,7,2,6,,,,,3,"Bortz, Tiffany A","Estevan, Ellery B",,,,
ACCT,3341,1,13,4,6,3,5,4,6,5,1,,1,,,,,,,0,"Sadka, Gil","Holstead, Cameron",,,,
